s,10°C,15°C,20°C,30°C,Form factor
0.003,403.1,367.3,344.4,313.8,
0.00342,403.1,369.9,341.8,313.8,
0.00385,400.5,367.3,339.3,316.3,
0.00427,390.3,362.2,336.7,311.2,
0.00469,385.2,352.0,331.6,306.1,
0.00512,375.0,349.5,329.1,301.0,
0.00554,369.9,341.8,321.4,298.5,
0.00597,364.8,336.7,318.9,295.9,
0.00639,362.2,331.6,313.8,293.4,
0.00681,349.5,326.5,311.2,288.3,
0.00724,339.3,316.3,301.0,278.1,
0.00766,324.0,301.0,288.3,273.0,
0.00808,316.3,295.9,283.2,265.3,
0.00851,308.7,290.8,275.5,265.3,
0.00893,303.6,283.2,273.0,257.7,
0.00936,290.8,278.1,257.7,,
0.00978,280.6,270.4,255.1,244.9,
0.0102,265.3,,,,
0.01063,260.2,247.4,232.1,,
0.01105,252.6,242.3,234.7,224.5,
0.01147,244.9,232.1,221.9,,
0.0119,237.2,,,,
0.01232,226.3,226.3,226.3,226.3,226.3
0.01275,222.9,222.9,222.9,222.9,222.9
0.01317,217.3,217.3,217.3,217.3,217.3
0.01359,210.8,210.8,210.8,210.8,210.8
0.01402,204.1,204.1,204.1,204.1,204.1
0.01444,197.4,197.4,197.4,197.4,197.4
0.01486,190.8,190.8,190.8,190.8,190.8
0.01529,184.2,184.2,184.2,184.2,184.2
0.01571,177.6,177.6,177.6,177.6,177.6
0.01614,170.9,170.9,170.9,170.9,170.9
0.01656,164.2,164.2,164.2,164.2,164.2
0.01698,157.6,157.6,157.6,157.6,157.6
0.01741,151.2,151.2,151.2,151.2,151.2
0.01783,144.9,144.9,144.9,144.9,144.9
0.01825,138.8,138.8,138.8,138.8,138.8
0.01868,133.0,133.0,133.0,133.0,133.0
0.0191,127.3,127.3,127.3,127.3,127.3
0.01953,121.5,121.5,121.5,121.5,121.5
0.01995,115.7,115.7,115.7,115.7,115.7
0.02037,110.1,110.1,110.1,110.1,110.1
0.0208,104.7,104.7,104.7,104.7,104.7
0.02122,99.5,99.5,99.5,99.5,99.5
0.02164,94.5,94.5,94.5,94.5,94.5
0.02207,89.7,89.7,89.7,89.7,89.7
0.02249,85.1,85.1,85.1,85.1,85.1
0.02292,80.7,80.7,80.7,80.7,80.7
0.02334,76.3,76.3,76.3,76.3,76.3
0.02376,71.5,71.5,71.5,71.5,71.5
0.02419,66.4,66.4,66.4,66.4,66.4
0.02461,61.5,61.5,61.5,61.5,61.5
0.02503,56.8,56.8,56.8,56.8,56.8
0.02546,52.2,52.2,52.2,52.2,52.2
0.02588,48.0,48.0,48.0,48.0,48.0
0.02631,44.6,44.6,44.6,44.6,44.6
0.02673,42.2,42.2,42.2,42.2,42.2
0.02715,40.2,40.2,40.2,40.2,40.2
0.02758,38.3,38.3,38.3,38.3,38.3
0.028,37.1,37.1,37.1,37.1,37.1
